,acronym,graph_id,graph_order,id,name,structure_id_path,structure_set_ids,rgb_triplet
24,SSp-n1,1,45,558,"Primary somatosensory area, nose, layer 1","[997, 8, 567, 688, 695, 315, 453, 322, 353, 558]","[667481440, 184527634, 12, 691663206]","[24, 128, 100]"
25,SSp-n2/3,1,46,838,"Primary somatosensory area, nose, layer 2/3","[997, 8, 567, 688, 695, 315, 453, 322, 353, 838]","[667481441, 184527634, 12, 691663206]","[24, 128, 100]"
26,SSp-n4,1,47,654,"Primary somatosensory area, nose, layer 4","[997, 8, 567, 688, 695, 315, 453, 322, 353, 654]","[184527634, 12, 667481445, 691663206]","[24, 128, 100]"
27,SSp-n5,1,48,702,"Primary somatosensory area, nose, layer 5","[997, 8, 567, 688, 695, 315, 453, 322, 353, 702]","[184527634, 12, 667481446, 691663206]","[24, 128, 100]"
28,SSp-n6a,1,49,889,"Primary somatosensory area, nose, layer 6a","[997, 8, 567, 688, 695, 315, 453, 322, 353, 889]","[667481449, 184527634, 12, 691663206]","[24, 128, 100]"
29,SSp-n6b,1,50,929,"Primary somatosensory area, nose, layer 6b","[997, 8, 567, 688, 695, 315, 453, 322, 353, 929]","[184527634, 12, 667481450, 691663206]","[24, 128, 100]"
30,SSp-bfd,1,51,329,"Primary somatosensory area, barrel field","[997, 8, 567, 688, 695, 315, 453, 322, 329]","[112905828, 688152357, 691663206, 687527945, 12, 184527634, 112905813, 167587189, 114512891, 114512892]","[24, 128, 100]"
31,SSp-bfd1,1,52,981,"Primary somatosensory area, barrel field, layer 1","[997, 8, 567, 688, 695, 315, 453, 322, 329, 981]","[667481440, 184527634, 12, 691663206]","[24, 128, 100]"
32,SSp-bfd2/3,1,53,201,"Primary somatosensory area, barrel field, layer 2/3","[997, 8, 567, 688, 695, 315, 453, 322, 329, 201]","[667481441, 184527634, 12, 691663206]","[24, 128, 100]"
33,SSp-bfd4,1,54,1047,"Primary somatosensory area, barrel field, layer 4","[997, 8, 567, 688, 695, 315, 453, 322, 329, 1047]","[184527634, 12, 667481445, 691663206]","[24, 128, 100]"
34,SSp-bfd5,1,55,1070,"Primary somatosensory area, barrel field, layer 5","[997, 8, 567, 688, 695, 315, 453, 322, 329, 1070]","[184527634, 12, 667481446, 691663206]","[24, 128, 100]"
35,SSp-bfd6a,1,56,1038,"Primary somatosensory area, barrel field, layer 6a","[997, 8, 567, 688, 695, 315, 453, 322, 329, 1038]","[667481449, 184527634, 12, 691663206]","[24, 128, 100]"
36,SSp-bfd6b,1,57,1062,"Primary somatosensory area, barrel field, layer 6b","[997, 8, 567, 688, 695, 315, 453, 322, 329, 1062]","[667481450, 184527634, 12, 691663206]","[24, 128, 100]"
37,SSp-ll,1,65,337,"Primary somatosensory area, lower limb","[997, 8, 567, 688, 695, 315, 453, 322, 337]","[112905828, 688152357, 691663206, 687527945, 12, 184527634, 167587189, 114512891]","[24, 128, 100]"
38,SSp-ll1,1,66,1030,"Primary somatosensory area, lower limb, layer 1","[997, 8, 567, 688, 695, 315, 453, 322, 337, 1030]","[667481440, 184527634, 12, 691663206]","[24, 128, 100]"
39,SSp-ll2/3,1,67,113,"Primary somatosensory area, lower limb, layer 2/3","[997, 8, 567, 688, 695, 315, 453, 322, 337, 113]","[667481441, 184527634, 12, 691663206]","[24, 128, 100]"
40,SSp-ll4,1,68,1094,"Primary somatosensory area, lower limb, layer 4","[997, 8, 567, 688, 695, 315, 453, 322, 337, 1094]","[184527634, 12, 667481445, 691663206]","[24, 128, 100]"
41,SSp-ll5,1,69,1128,"Primary somatosensory area, lower limb, layer 5","[997, 8, 567, 688, 695, 315, 453, 322, 337, 1128]","[184527634, 12, 667481446, 691663206]","[24, 128, 100]"
42,SSp-ll6a,1,70,478,"Primary somatosensory area, lower limb, layer 6a","[997, 8, 567, 688, 695, 315, 453, 322, 337, 478]","[667481449, 184527634, 12, 691663206]","[24, 128, 100]"
43,SSp-ll6b,1,71,510,"Primary somatosensory area, lower limb, layer 6b","[997, 8, 567, 688, 695, 315, 453, 322, 337, 510]","[667481450, 184527634, 12, 691663206]","[24, 128, 100]"
44,SSp-m,1,72,345,"Primary somatosensory area, mouth","[997, 8, 567, 688, 695, 315, 453, 322, 345]","[112905828, 688152357, 691663206, 687527945, 12, 184527634, 167587189, 114512891]","[24, 128, 100]"
45,SSp-m1,1,73,878,"Primary somatosensory area, mouth, layer 1","[997, 8, 567, 688, 695, 315, 453, 322, 345, 878]","[667481440, 184527634, 12, 691663206]","[24, 128, 100]"
46,SSp-m2/3,1,74,657,"Primary somatosensory area, mouth, layer 2/3","[997, 8, 567, 688, 695, 315, 453, 322, 345, 657]","[667481441, 184527634, 12, 691663206]","[24, 128, 100]"
47,SSp-m4,1,75,950,"Primary somatosensory area, mouth, layer 4","[997, 8, 567, 688, 695, 315, 453, 322, 345, 950]","[184527634, 12, 667481445, 691663206]","[24, 128, 100]"
48,SSp-m5,1,76,974,"Primary somatosensory area, mouth, layer 5","[997, 8, 567, 688, 695, 315, 453, 322, 345, 974]","[184527634, 12, 667481446, 691663206]","[24, 128, 100]"
49,SSp-m6a,1,77,1102,"Primary somatosensory area, mouth, layer 6a","[997, 8, 567, 688, 695, 315, 453, 322, 345, 1102]","[667481449, 184527634, 12, 691663206]","[24, 128, 100]"
50,SSp-m6b,1,78,2,"Primary somatosensory area, mouth, layer 6b","[997, 8, 567, 688, 695, 315, 453, 322, 345, 2]","[667481450, 184527634, 12, 691663206]","[24, 128, 100]"
51,SSp-ul,1,79,369,"Primary somatosensory area, upper limb","[997, 8, 567, 688, 695, 315, 453, 322, 369]","[112905828, 688152357, 691663206, 687527945, 12, 184527634, 167587189, 114512891]","[24, 128, 100]"
52,SSp-ul1,1,80,450,"Primary somatosensory area, upper limb, layer 1","[997, 8, 567, 688, 695, 315, 453, 322, 369, 450]","[667481440, 184527634, 12, 691663206]","[24, 128, 100]"
53,SSp-ul2/3,1,81,854,"Primary somatosensory area, upper limb, layer 2/3","[997, 8, 567, 688, 695, 315, 453, 322, 369, 854]","[667481441, 184527634, 12, 691663206]","[24, 128, 100]"
54,SSp-ul4,1,82,577,"Primary somatosensory area, upper limb, layer 4","[997, 8, 567, 688, 695, 315, 453, 322, 369, 577]","[184527634, 12, 667481445, 691663206]","[24, 128, 100]"
55,SSp-ul5,1,83,625,"Primary somatosensory area, upper limb, layer 5","[997, 8, 567, 688, 695, 315, 453, 322, 369, 625]","[184527634, 12, 667481446, 691663206]","[24, 128, 100]"
56,SSp-ul6a,1,84,945,"Primary somatosensory area, upper limb, layer 6a","[997, 8, 567, 688, 695, 315, 453, 322, 369, 945]","[667481449, 184527634, 12, 691663206]","[24, 128, 100]"
57,SSp-ul6b,1,85,1026,"Primary somatosensory area, upper limb, layer 6b","[997, 8, 567, 688, 695, 315, 453, 322, 369, 1026]","[667481450, 184527634, 12, 691663206]","[24, 128, 100]"
58,SSp-tr,1,86,361,"Primary somatosensory area, trunk","[997, 8, 567, 688, 695, 315, 453, 322, 361]","[112905828, 688152357, 691663206, 687527945, 12, 184527634, 112905813, 167587189, 114512891, 114512892]","[24, 128, 100]"
59,SSp-tr1,1,87,1006,"Primary somatosensory area, trunk, layer 1","[997, 8, 567, 688, 695, 315, 453, 322, 361, 1006]","[667481440, 184527634, 12, 691663206]","[24, 128, 100]"
60,SSp-tr2/3,1,88,670,"Primary somatosensory area, trunk, layer 2/3","[997, 8, 567, 688, 695, 315, 453, 322, 361, 670]","[667481441, 184527634, 12, 691663206]","[24, 128, 100]"
61,SSp-tr4,1,89,1086,"Primary somatosensory area, trunk, layer 4","[997, 8, 567, 688, 695, 315, 453, 322, 361, 1086]","[184527634, 12, 667481445, 691663206]","[24, 128, 100]"
62,SSp-tr5,1,90,1111,"Primary somatosensory area, trunk, layer 5","[997, 8, 567, 688, 695, 315, 453, 322, 361, 1111]","[184527634, 12, 667481446, 691663206]","[24, 128, 100]"
63,SSp-tr6a,1,91,9,"Primary somatosensory area, trunk, layer 6a","[997, 8, 567, 688, 695, 315, 453, 322, 361, 9]","[667481449, 184527634, 12, 691663206]","[24, 128, 100]"
64,SSp-tr6b,1,92,461,"Primary somatosensory area, trunk, layer 6b","[997, 8, 567, 688, 695, 315, 453, 322, 361, 461]","[667481450, 184527634, 12, 691663206]","[24, 128, 100]"
65,SSp-un,1,93,182305689,"Primary somatosensory area, unassigned","[997, 8, 567, 688, 695, 315, 453, 322, 182305689]","[112905828, 688152357, 691663206, 687527945, 12, 184527634, 167587189, 114512891]","[24, 128, 100]"
66,SSp-un1,1,94,182305693,"Primary somatosensory area, unassigned, layer 1","[997, 8, 567, 688, 695, 315, 453, 322, 182305689, 182305693]","[667481440, 184527634, 12, 691663206]","[24, 128, 100]"
67,SSp-un2/3,1,95,182305697,"Primary somatosensory area, unassigned, layer 2/3","[997, 8, 567, 688, 695, 315, 453, 322, 182305689, 182305697]","[667481441, 184527634, 12, 691663206]","[24, 128, 100]"
68,SSp-un4,1,96,182305701,"Primary somatosensory area, unassigned, layer 4","[997, 8, 567, 688, 695, 315, 453, 322, 182305689, 182305701]","[184527634, 12, 667481445, 691663206]","[24, 128, 100]"
69,SSp-un5,1,97,182305705,"Primary somatosensory area, unassigned, layer 5","[997, 8, 567, 688, 695, 315, 453, 322, 182305689, 182305705]","[667481446, 184527634, 12, 691663206]","[24, 128, 100]"
70,SSp-un6a,1,98,182305709,"Primary somatosensory area, unassigned, layer 6a","[997, 8, 567, 688, 695, 315, 453, 322, 182305689, 182305709]","[667481449, 184527634, 12, 691663206]","[24, 128, 100]"
71,SSp-un6b,1,99,182305713,"Primary somatosensory area, unassigned, layer 6b","[997, 8, 567, 688, 695, 315, 453, 322, 182305689, 182305713]","[667481450, 184527634, 12, 691663206]","[24, 128, 100]"
72,SSs,1,100,378,Supplemental somatosensory area,"[997, 8, 567, 688, 695, 315, 453, 378]","[112905828, 688152357, 691663206, 687527945, 12, 184527634, 167587189, 114512891]","[24, 128, 100]"
73,SSs1,1,101,873,"Supplemental somatosensory area, layer 1","[997, 8, 567, 688, 695, 315, 453, 378, 873]","[667481440, 184527634, 12, 691663206]","[24, 128, 100]"
74,SSs2/3,1,102,806,"Supplemental somatosensory area, layer 2/3","[997, 8, 567, 688, 695, 315, 453, 378, 806]","[667481441, 184527634, 12, 691663206]","[24, 128, 100]"
75,SSs4,1,103,1035,"Supplemental somatosensory area, layer 4","[997, 8, 567, 688, 695, 315, 453, 378, 1035]","[184527634, 12, 667481445, 691663206]","[24, 128, 100]"
76,SSs5,1,104,1090,"Supplemental somatosensory area, layer 5","[997, 8, 567, 688, 695, 315, 453, 378, 1090]","[184527634, 12, 667481446, 691663206]","[24, 128, 100]"
77,SSs6a,1,105,862,"Supplemental somatosensory area, layer 6a","[997, 8, 567, 688, 695, 315, 453, 378, 862]","[667481449, 184527634, 12, 691663206]","[24, 128, 100]"
78,SSs6b,1,106,893,"Supplemental somatosensory area, layer 6b","[997, 8, 567, 688, 695, 315, 453, 378, 893]","[184527634, 12, 667481450, 691663206]","[24, 128, 100]"
79,GU,1,107,1057,Gustatory areas,"[997, 8, 567, 688, 695, 315, 1057]","[3, 112905828, 688152357, 691663206, 687527945, 12, 184527634, 167587189, 114512891]","[0, 156, 117]"
80,GU1,1,108,36,"Gustatory areas, layer 1","[997, 8, 567, 688, 695, 315, 1057, 36]","[667481440, 184527634, 12, 691663206]","[0, 156, 117]"
81,GU2/3,1,109,180,"Gustatory areas, layer 2/3","[997, 8, 567, 688, 695, 315, 1057, 180]","[667481441, 184527634, 12, 691663206]","[0, 156, 117]"
82,GU4,1,110,148,"Gustatory areas, layer 4","[997, 8, 567, 688, 695, 315, 1057, 148]","[184527634, 12, 667481445, 691663206]","[0, 156, 117]"
83,GU5,1,111,187,"Gustatory areas, layer 5","[997, 8, 567, 688, 695, 315, 1057, 187]","[184527634, 12, 667481446, 691663206]","[0, 156, 117]"
84,GU6a,1,112,638,"Gustatory areas, layer 6a","[997, 8, 567, 688, 695, 315, 1057, 638]","[667481449, 184527634, 12, 691663206]","[0, 156, 117]"
85,GU6b,1,113,662,"Gustatory areas, layer 6b","[997, 8, 567, 688, 695, 315, 1057, 662]","[184527634, 12, 667481450, 691663206]","[0, 156, 117]"
86,VISC,1,114,677,Visceral area,"[997, 8, 567, 688, 695, 315, 677]","[3, 112905828, 688152357, 691663206, 687527945, 12, 184527634, 167587189, 114512891]","[17, 173, 131]"
87,VISC1,1,115,897,"Visceral area, layer 1","[997, 8, 567, 688, 695, 315, 677, 897]","[667481440, 184527634, 12, 691663206]","[17, 173, 131]"
88,VISC2/3,1,116,1106,"Visceral area, layer 2/3","[997, 8, 567, 688, 695, 315, 677, 1106]","[667481441, 184527634, 12, 691663206]","[17, 173, 131]"
89,VISC4,1,117,1010,"Visceral area, layer 4","[997, 8, 567, 688, 695, 315, 677, 1010]","[184527634, 12, 667481445, 691663206]","[17, 173, 131]"
90,VISC5,1,118,1058,"Visceral area, layer 5","[997, 8, 567, 688, 695, 315, 677, 1058]","[184527634, 12, 667481446, 691663206]","[17, 173, 131]"
91,VISC6a,1,119,857,"Visceral area, layer 6a","[997, 8, 567, 688, 695, 315, 677, 857]","[667481449, 184527634, 12, 691663206]","[17, 173, 131]"
92,VISC6b,1,120,849,"Visceral area, layer 6b","[997, 8, 567, 688, 695, 315, 677, 849]","[184527634, 12, 667481450, 691663206]","[17, 173, 131]"
93,AUD,1,121,247,Auditory areas,"[997, 8, 567, 688, 695, 315, 247]","[3, 112905828, 691663206, 12, 184527634, 114512891]","[1, 147, 153]"
94,AUDd,1,122,1011,Dorsal auditory area,"[997, 8, 567, 688, 695, 315, 247, 1011]","[112905828, 688152357, 691663206, 687527945, 12, 184527634, 167587189, 114512891]","[1, 147, 153]"
95,AUDd1,1,123,527,"Dorsal auditory area, layer 1","[997, 8, 567, 688, 695, 315, 247, 1011, 527]","[667481440, 184527634, 12, 691663206]","[1, 147, 153]"
96,AUDd2/3,1,124,600,"Dorsal auditory area, layer 2/3","[997, 8, 567, 688, 695, 315, 247, 1011, 600]","[667481441, 184527634, 12, 691663206]","[1, 147, 153]"
97,AUDd4,1,125,678,"Dorsal auditory area, layer 4","[997, 8, 567, 688, 695, 315, 247, 1011, 678]","[184527634, 12, 667481445, 691663206]","[1, 147, 153]"
98,AUDd5,1,126,252,"Dorsal auditory area, layer 5","[997, 8, 567, 688, 695, 315, 247, 1011, 252]","[184527634, 12, 667481446, 691663206]","[1, 147, 153]"
99,AUDd6a,1,127,156,"Dorsal auditory area, layer 6a","[997, 8, 567, 688, 695, 315, 247, 1011, 156]","[667481449, 184527634, 12, 691663206]","[1, 147, 153]"
100,AUDd6b,1,128,243,"Dorsal auditory area, layer 6b","[997, 8, 567, 688, 695, 315, 247, 1011, 243]","[667481450, 184527634, 12, 691663206]","[1, 147, 153]"
101,AUDp,1,136,1002,Primary auditory area,"[997, 8, 567, 688, 695, 315, 247, 1002]","[112905828, 688152357, 691663206, 687527945, 12, 184527634, 167587189, 114512891]","[1, 147, 153]"
102,AUDp1,1,137,735,"Primary auditory area, layer 1","[997, 8, 567, 688, 695, 315, 247, 1002, 735]","[667481440, 184527634, 12, 691663206]","[1, 147, 153]"
103,AUDp2/3,1,138,251,"Primary auditory area, layer 2/3","[997, 8, 567, 688, 695, 315, 247, 1002, 251]","[667481441, 184527634, 12, 691663206]","[1, 147, 153]"
104,AUDp4,1,139,816,"Primary auditory area, layer 4","[997, 8, 567, 688, 695, 315, 247, 1002, 816]","[184527634, 12, 667481445, 691663206]","[1, 147, 153]"
105,AUDp5,1,140,847,"Primary auditory area, layer 5","[997, 8, 567, 688, 695, 315, 247, 1002, 847]","[184527634, 12, 667481446, 691663206]","[1, 147, 153]"
106,AUDp6a,1,141,954,"Primary auditory area, layer 6a","[997, 8, 567, 688, 695, 315, 247, 1002, 954]","[667481449, 184527634, 12, 691663206]","[1, 147, 153]"
107,AUDp6b,1,142,1005,"Primary auditory area, layer 6b","[997, 8, 567, 688, 695, 315, 247, 1002, 1005]","[667481450, 184527634, 12, 691663206]","[1, 147, 153]"
108,AUDpo,1,143,1027,Posterior auditory area,"[997, 8, 567, 688, 695, 315, 247, 1027]","[112905828, 688152357, 691663206, 687527945, 12, 184527634, 167587189, 114512891]","[1, 147, 153]"
109,AUDpo1,1,144,696,"Posterior auditory area, layer 1","[997, 8, 567, 688, 695, 315, 247, 1027, 696]","[667481440, 184527634, 12, 691663206]","[1, 147, 153]"
110,AUDpo2/3,1,145,643,"Posterior auditory area, layer 2/3","[997, 8, 567, 688, 695, 315, 247, 1027, 643]","[667481441, 184527634, 12, 691663206]","[1, 147, 153]"
111,AUDpo4,1,146,759,"Posterior auditory area, layer 4","[997, 8, 567, 688, 695, 315, 247, 1027, 759]","[184527634, 12, 667481445, 691663206]","[1, 147, 153]"
112,AUDpo5,1,147,791,"Posterior auditory area, layer 5","[997, 8, 567, 688, 695, 315, 247, 1027, 791]","[184527634, 12, 667481446, 691663206]","[1, 147, 153]"
113,AUDpo6a,1,148,249,"Posterior auditory area, layer 6a","[997, 8, 567, 688, 695, 315, 247, 1027, 249]","[667481449, 184527634, 12, 691663206]","[1, 147, 153]"
114,AUDv,1,150,1018,Ventral auditory area,"[997, 8, 567, 688, 695, 315, 247, 1018]","[112905828, 688152357, 691663206, 687527945, 12, 184527634, 167587189, 114512891]","[1, 147, 153]"
115,AUDv1,1,151,959,"Ventral auditory area, layer 1","[997, 8, 567, 688, 695, 315, 247, 1018, 959]","[667481440, 184527634, 12, 691663206]","[1, 147, 153]"
116,AUDv2/3,1,152,755,"Ventral auditory area, layer 2/3","[997, 8, 567, 688, 695, 315, 247, 1018, 755]","[667481441, 184527634, 12, 691663206]","[1, 147, 153]"
117,AUDv4,1,153,990,"Ventral auditory area, layer 4","[997, 8, 567, 688, 695, 315, 247, 1018, 990]","[184527634, 12, 667481445, 691663206]","[1, 147, 153]"
118,AUDv5,1,154,1023,"Ventral auditory area, layer 5","[997, 8, 567, 688, 695, 315, 247, 1018, 1023]","[184527634, 12, 667481446, 691663206]","[1, 147, 153]"
119,AUDv6a,1,155,520,"Ventral auditory area, layer 6a","[997, 8, 567, 688, 695, 315, 247, 1018, 520]","[667481449, 184527634, 12, 691663206]","[1, 147, 153]"
120,AUDv6b,1,156,598,"Ventral auditory area, layer 6b","[997, 8, 567, 688, 695, 315, 247, 1018, 598]","[667481450, 184527634, 12, 691663206]","[1, 147, 153]"
121,VIS,1,157,669,Visual areas,"[997, 8, 567, 688, 695, 315, 669]","[3, 112905828, 691663206, 12, 184527634, 112905813, 114512891, 114512892]","[8, 133, 140]"
122,VISal,1,164,402,Anterolateral visual area,"[997, 8, 567, 688, 695, 315, 669, 402]","[396673091, 112905828, 688152357, 691663206, 687527945, 12, 184527634, 514166994, 167587189, 114512891]","[8, 133, 140]"
123,VISal1,1,165,1074,"Anterolateral visual area, layer 1","[997, 8, 567, 688, 695, 315, 669, 402, 1074]","[667481440, 396673091, 691663206, 12, 184527634]","[8, 133, 140]"
124,VISal2/3,1,166,905,"Anterolateral visual area, layer 2/3","[997, 8, 567, 688, 695, 315, 669, 402, 905]","[667481441, 396673091, 691663206, 12, 184527634]","[8, 133, 140]"
125,VISal4,1,167,1114,"Anterolateral visual area, layer 4","[997, 8, 567, 688, 695, 315, 669, 402, 1114]","[396673091, 667481445, 691663206, 12, 184527634]","[8, 133, 140]"
126,VISal5,1,168,233,"Anterolateral visual area, layer 5","[997, 8, 567, 688, 695, 315, 669, 402, 233]","[396673091, 691663206, 667481446, 12, 184527634]","[8, 133, 140]"
127,VISal6a,1,169,601,"Anterolateral visual area, layer 6a","[997, 8, 567, 688, 695, 315, 669, 402, 601]","[396673091, 691663206, 667481449, 12, 184527634]","[8, 133, 140]"
128,VISal6b,1,170,649,"Anterolateral visual area, layer 6b","[997, 8, 567, 688, 695, 315, 669, 402, 649]","[396673091, 691663206, 667481450, 12, 184527634]","[8, 133, 140]"
129,VISam,1,171,394,Anteromedial visual area,"[997, 8, 567, 688, 695, 315, 669, 394]","[396673091, 112905828, 688152357, 691663206, 687527945, 12, 184527634, 514166994, 167587189, 114512891]","[8, 133, 140]"
130,VISam1,1,172,281,"Anteromedial visual area, layer 1","[997, 8, 567, 688, 695, 315, 669, 394, 281]","[667481440, 396673091, 691663206, 12, 184527634]","[8, 133, 140]"
131,VISam2/3,1,173,1066,"Anteromedial visual area, layer 2/3","[997, 8, 567, 688, 695, 315, 669, 394, 1066]","[667481441, 396673091, 691663206, 12, 184527634]","[8, 133, 140]"
132,VISam4,1,174,401,"Anteromedial visual area, layer 4","[997, 8, 567, 688, 695, 315, 669, 394, 401]","[396673091, 667481445, 691663206, 12, 184527634]","[8, 133, 140]"
133,VISam5,1,175,433,"Anteromedial visual area, layer 5","[997, 8, 567, 688, 695, 315, 669, 394, 433]","[396673091, 691663206, 667481446, 12, 184527634]","[8, 133, 140]"
134,VISam6a,1,176,1046,"Anteromedial visual area, layer 6a","[997, 8, 567, 688, 695, 315, 669, 394, 1046]","[396673091, 691663206, 667481449, 12, 184527634]","[8, 133, 140]"
135,VISam6b,1,177,441,"Anteromedial visual area, layer 6b","[997, 8, 567, 688, 695, 315, 669, 394, 441]","[396673091, 691663206, 667481450, 12, 184527634]","[8, 133, 140]"
136,VISl,1,178,409,Lateral visual area,"[997, 8, 567, 688, 695, 315, 669, 409]","[396673091, 112905828, 688152357, 691663206, 687527945, 12, 184527634, 514166994, 167587189, 114512891]","[8, 133, 140]"
137,VISl1,1,179,421,"Lateral visual area, layer 1","[997, 8, 567, 688, 695, 315, 669, 409, 421]","[667481440, 396673091, 691663206, 12, 184527634]","[8, 133, 140]"
138,VISl2/3,1,180,973,"Lateral visual area, layer 2/3","[997, 8, 567, 688, 695, 315, 669, 409, 973]","[667481441, 396673091, 691663206, 12, 184527634]","[8, 133, 140]"
139,VISl4,1,181,573,"Lateral visual area, layer 4","[997, 8, 567, 688, 695, 315, 669, 409, 573]","[396673091, 667481445, 691663206, 12, 184527634]","[8, 133, 140]"
140,VISl5,1,182,613,"Lateral visual area, layer 5","[997, 8, 567, 688, 695, 315, 669, 409, 613]","[396673091, 667481446, 691663206, 12, 184527634]","[8, 133, 140]"
141,VISl6a,1,183,74,"Lateral visual area, layer 6a","[997, 8, 567, 688, 695, 315, 669, 409, 74]","[396673091, 691663206, 667481449, 12, 184527634]","[8, 133, 140]"
142,VISl6b,1,184,121,"Lateral visual area, layer 6b","[997, 8, 567, 688, 695, 315, 669, 409, 121]","[396673091, 691663206, 667481450, 12, 184527634]","[8, 133, 140]"
143,VISp,1,185,385,Primary visual area,"[997, 8, 567, 688, 695, 315, 669, 385]","[396673091, 112905828, 688152357, 691663206, 687527945, 12, 184527634, 514166994, 112905813, 167587189, 114512891, 114512892]","[8, 133, 140]"
144,VISp1,1,186,593,"Primary visual area, layer 1","[997, 8, 567, 688, 695, 315, 669, 385, 593]","[667481440, 396673091, 691663206, 12, 184527634]","[8, 133, 140]"
145,VISp2/3,1,187,821,"Primary visual area, layer 2/3","[997, 8, 567, 688, 695, 315, 669, 385, 821]","[667481441, 396673091, 691663206, 12, 184527634]","[8, 133, 140]"
146,VISp4,1,188,721,"Primary visual area, layer 4","[997, 8, 567, 688, 695, 315, 669, 385, 721]","[396673091, 667481445, 691663206, 12, 184527634]","[8, 133, 140]"
